Old State	Action		New State
2094.4		1.0		2517.43
2094.4		0.999		2516.95
2094.4		0.998		2516.4699
2094.4		0.997		2515.9899
2094.4		0.996		2515.51
2094.4		0.995		2515.04
2094.4		0.994		2514.56
2094.4		0.993		2514.08
2094.4		0.992		2513.6
2094.4		0.991		2513.13
2094.4		0.99		2512.65
2094.4		0.989		2512.17
2094.4		0.988		2511.69
2094.4		0.987		2511.2199
2094.4		0.986		2510.7399
2094.4		0.985		2510.26
2094.4		0.984		2509.78
2094.4		0.983		2509.31
2094.4		0.982		2508.83
2094.4		0.981		2508.35
2094.4		0.98		2507.87
2094.4		0.979		2507.4
2094.4		0.978		2506.92
2094.4		0.977		2506.44
2094.4		0.976		2505.96
2094.4		0.975		2505.4899
2094.4		0.974		2505.01
2094.4		0.973		2504.53
2094.4		0.972		2504.06
2094.4		0.971		2503.58
2094.4		0.97		2503.1
2094.4		0.969		2502.62
2094.4		0.968		2502.15
2094.4		0.967		2501.67
2094.4		0.966		2501.19
2094.4		0.965		2500.7199
2094.4		0.964		2500.2399
2094.4		0.963		2499.76
2094.4		0.962		2499.29
2094.4		0.961		2498.81
2094.4		0.96		2498.33
2094.4		0.959		2497.86
2094.4		0.958		2497.38
2094.4		0.957		2496.9
2094.4		0.956		2496.43
2094.4		0.955		2495.95
2094.4		0.954		2495.4699
2094.4		0.953		2495.0
2094.4		0.952		2494.52
2094.4		0.951		2494.04
2094.4		0.95		2493.57
2094.4		0.949		2493.09
2094.4		0.948		2492.61
2094.4		0.947		2492.14
2094.4		0.946		2491.66
2094.4		0.945		2491.18
2094.4		0.944		2490.71
2094.4		0.943		2490.23
2094.4		0.942		2489.76
2094.4		0.941		2489.28
2094.4		0.94		2488.8
2094.4		0.939		2488.33
2094.4		0.938		2487.85
2094.4		0.937		2487.38
2094.4		0.936		2486.9
2094.4		0.935		2486.42
2094.4		0.934		2485.95
2094.4		0.933		2485.4699
2094.4		0.932		2485.0
2094.4		0.931		2484.52
2094.4		0.93		2484.04
2094.4		0.929		2483.57
2094.4		0.928		2483.09
2094.4		0.927		2482.62
2094.4		0.926		2482.14
2094.4		0.925		2481.67
2094.4		0.924		2481.19
2094.4		0.923		2480.71
2094.4		0.922		2480.2399
2094.4		0.921		2479.76
2094.4		0.92		2479.29
2094.4		0.919		2478.81
2094.4		0.918		2478.34
2094.4		0.917		2477.86
2094.4		0.916		2477.39
2094.4		0.915		2476.91
2094.4		0.914		2476.44
2094.4		0.913		2475.96
2094.4		0.912		2475.4899
2094.4		0.911		2475.01
2094.4		0.91		2474.53
2094.4		0.909		2474.06
2094.4		0.908		2473.58
2094.4		0.907		2473.11
2094.4		0.906		2472.63
2094.4		0.905		2472.16
2094.4		0.904		2471.68
2094.4		0.903		2471.21
2094.4		0.902		2470.73
2094.4		0.901		2470.26
2094.4		0.9		2469.78
2094.4		0.899		2469.31
2094.4		0.898		2468.84
2094.4		0.897		2468.36
2094.4		0.896		2467.89
2094.4		0.895		2467.41
2094.4		0.894		2466.94
2094.4		0.893		2466.46
2094.4		0.892		2465.9899
2094.4		0.891		2465.51
2094.4		0.89		2465.04
2094.4		0.889		2464.56
2094.4		0.888		2464.09
2094.4		0.887		2463.61
2094.4		0.886		2463.14
2094.4		0.885		2462.67
2094.4		0.884		2462.19
2094.4		0.883		2461.7199
2094.4		0.882		2461.2399
2094.4		0.881		2460.77
2094.4		0.88		2460.29
2094.4		0.879		2459.82
2094.4		0.878		2459.35
2094.4		0.877		2458.87
2094.4		0.876		2458.4
2094.4		0.875		2457.92
2094.4		0.874		2457.45
2094.4		0.873		2456.9699
2094.4		0.872		2456.5
2094.4		0.871		2456.03
2094.4		0.87		2455.55
2094.4		0.869		2455.08
2094.4		0.868		2454.61
2094.4		0.867		2454.13
2094.4		0.866		2453.66
