OldState	Action		NewState
2094.4		1.0		2517.43
2094.4		0.99		2512.65
2094.4		0.98		2507.87
2094.4		0.97		2503.1
2094.4		0.96		2498.33
2094.4		0.95		2493.57
2094.4		0.94		2488.8
2094.4		0.93		2484.04
2094.4		0.92		2479.29
2094.4		0.91		2474.53
2094.4		0.9		2469.78
2094.4		0.89		2465.04
2094.4		0.88		2460.29
2094.4		0.87		2455.55
2094.4		0.86		2450.82
2094.4		0.85		2446.08
2094.4		0.84		2441.35
2094.4		0.83		2436.62
2094.4		0.82		2431.9
2094.4		0.81		2427.17
2094.4		0.8		2422.46
2094.4		0.79		2417.7399
2094.4		0.78		2413.03
2094.4		0.77		2408.32
2094.4		0.76		2403.61
2094.4		0.75		2398.91
2094.4		0.74		2394.21
2094.4		0.73		2389.51
2094.4		0.72		2384.82
2094.4		0.71		2380.12
2094.4		0.7		2375.44
2094.4		0.69		2370.75
2094.4		0.68		2366.07
2094.4		0.67		2361.39
2094.4		0.66		2356.7199
2094.4		0.65		2352.04
2094.4		0.64		2347.37
2094.4		0.63		2342.71
2094.4		0.62		2338.04
2094.4		0.61		2333.38
2094.4		0.6		2328.73
2094.4		0.59		2324.07
2094.4		0.58		2319.42
2094.4		0.57		2314.77
2094.4		0.56		2310.13
2094.4		0.55		2305.4899
2094.4		0.54		2300.85
2094.4		0.53		2296.21
2094.4		0.52		2291.58
2094.4		0.51		2286.95
2094.4		0.5		2282.32
2094.4		0.49		2277.7
2094.4		0.48		2273.08
2094.4		0.47		2268.46
2094.4		0.46		2263.85
2094.4		0.45		2259.2399
2094.4		0.44		2254.63
2094.4		0.43		2250.02
2094.4		0.42		2245.42
2094.4		0.41		2240.82
2094.4		0.4		2236.23
2094.4		0.39		2231.63
2094.4		0.38		2227.04
2094.4		0.37		2222.45
2094.4		0.36		2217.87
2094.4		0.35		2213.29
2094.4		0.34		2208.71
2094.4		0.33		2204.14
2094.4		0.32		2199.57
2094.4		0.31		2195.0
2094.4		0.3		2190.43
2094.4		0.29		2185.87
2094.4		0.28		2181.31
2094.4		0.27		2176.75
2094.4		0.26		2172.2
2094.4		0.25		2167.65
2094.4		0.24		2163.1
2094.4		0.23		2158.55
2094.4		0.22		2154.01
2094.4		0.21		2149.4699
2094.4		0.2		2144.94
2094.4		0.19		2140.41
2094.4		0.18		2135.88
2094.4		0.17		2131.35
2094.4		0.16		2126.82
2094.4		0.15		2122.3
2094.4		0.14		2117.79
2094.4		0.13		2113.27
2094.4		0.12		2108.76
2094.4		0.11		2104.25
2094.4		0.1		2099.7399
2094.4		0.09		2095.2399
2094.4		0.08		2095.58
2094.4		0.07		2096.29
2094.4		0.06		2097.1
2094.4		0.05		2096.65
2094.4		0.04		2094.4
2094.4		0.03		2094.4
2094.4		0.02		2094.4
2094.4		0.01		2094.4
2094.4		0.0		2094.4
2517.43		1.0		2961.88
2517.43		0.99		2956.78
2517.43		0.98		2951.68
2517.43		0.97		2946.58
2517.43		0.96		2941.4899
2517.43		0.95		2936.4
2517.43		0.94		2931.31
2517.43		0.93		2926.23
2517.43		0.92		2921.15
2517.43		0.91		2916.07
2517.43		0.9		2911.0
2517.43		0.89		2905.93
2517.43		0.88		2900.86
2517.43		0.87		2895.8
2517.43		0.86		2890.7399
2517.43		0.85		2885.68
2517.43		0.84		2880.63
2517.43		0.83		2875.58
2517.43		0.82		2870.53
2517.43		0.81		2865.4899
2517.43		0.8		2860.45
2517.43		0.79		2855.41
2517.43		0.78		2850.38
2517.43		0.77		2845.35
2517.43		0.76		2840.32
2517.43		0.75		2835.3
2517.43		0.74		2830.27
2517.43		0.73		2825.26
2517.43		0.72		2820.2399
2517.43		0.71		2815.23
2517.43		0.7		2810.23
2517.43		0.69		2805.2199
2517.43		0.68		2800.2199
2517.43		0.67		2795.23
2517.43		0.66		2790.23
2517.43		0.65		2785.2399
2517.43		0.64		2780.25
2517.43		0.63		2775.27
2517.43		0.62		2770.29
2517.43		0.61		2765.31
2517.43		0.6		2760.34
2517.43		0.59		2755.37
2517.43		0.58		2750.4
2517.43		0.57		2745.43
