"Steer","Gear","RPM","Speed","Distance","Min RPM","Max speed","Radius"
-1.000,1.000,8000.000,56.270,1717.812,2094.400,110.336,46.783
-1.000,2.000,8500.000,105.754,1719.735,5052.090,111.289,47.440
-1.000,3.000,8000.000,103.749,1719.735,2578.500,111.289,47.440
-0.990,1.000,8000.000,56.171,1725.327,2094.400,110.793,46.948
-0.990,2.000,8500.000,105.904,1730.232,5053.590,111.952,47.746
-0.990,3.000,8000.000,103.915,1730.232,2581.270,111.952,47.746
-0.980,1.000,8000.000,56.355,1732.467,2094.400,111.250,47.117
-0.980,2.000,8500.000,106.016,1740.312,5050.060,112.616,48.073
-0.980,3.000,8000.000,104.043,1740.312,2597.760,112.616,48.073
-0.970,1.000,8000.000,56.506,1739.726,2094.400,111.707,47.288
-0.970,2.000,8500.000,106.178,1750.545,5055.850,113.283,48.382
-0.970,3.000,8000.000,104.221,1750.545,2612.350,113.283,48.382
-0.960,1.000,8000.000,56.711,1746.916,2094.400,112.163,47.441
-0.960,2.000,8500.000,106.307,1760.709,5056.340,113.950,48.693
-0.960,3.000,8000.000,104.367,1760.709,2629.450,113.950,48.693
-0.950,1.000,8000.000,56.859,1754.089,2094.400,112.620,47.633
-0.950,2.000,8500.000,106.413,1770.868,5057.330,114.620,48.993
-0.950,3.000,8000.000,104.489,1770.868,2643.870,114.620,48.993
-0.940,1.000,8000.000,57.029,1761.218,2094.400,113.076,47.804
-0.940,2.000,8500.000,106.554,1780.990,5067.530,115.290,49.330
-0.940,3.000,8000.000,104.645,1780.990,2659.530,115.290,49.330
-0.930,1.000,8000.000,57.236,1768.459,2094.400,113.532,47.976
-0.930,2.000,8500.000,106.700,1791.278,5062.010,115.962,49.645
-0.930,3.000,8000.000,104.808,1791.278,2676.430,115.962,49.645
-0.920,1.000,8000.000,57.427,1775.565,2094.400,113.987,48.147
-0.920,2.000,8500.000,106.875,1801.456,5060.300,116.636,49.957
-0.920,3.000,8000.000,104.997,1801.456,2692.970,116.636,49.957
-0.910,1.000,8000.000,57.610,1782.690,2094.400,114.441,48.322
-0.910,2.000,8500.000,107.042,1811.675,5052.340,117.310,50.298
-0.910,3.000,8000.000,105.178,1811.675,2709.600,117.310,50.298
-0.900,1.000,8000.000,57.772,1789.603,2094.400,114.849,48.464
-0.900,2.000,8500.000,107.185,1821.826,5055.480,117.986,50.600
-0.900,3.000,8000.000,105.282,1821.826,2723.430,117.986,50.600
-0.890,1.000,8000.000,57.967,1793.797,2094.400,115.083,48.492
-0.890,2.000,8500.000,107.283,1832.371,5021.740,118.664,50.916
-0.890,3.000,8000.000,105.781,1832.371,2738.200,118.664,50.916
-0.880,1.000,8000.000,58.134,1798.472,2094.400,115.350,48.525
-0.880,2.000,8500.000,107.464,1842.483,5056.920,119.342,51.231
-0.880,3.000,8000.000,105.973,1842.483,2752.070,119.342,51.231
-0.870,1.000,8000.000,58.313,1803.079,2094.400,115.619,48.580
-0.870,2.000,8500.000,107.623,1852.566,5039.980,120.022,51.567
-0.870,3.000,8000.000,106.144,1852.566,2766.990,120.022,51.567
-0.860,1.000,8000.000,58.481,1807.704,2094.400,115.884,48.655
-0.860,2.000,8500.000,107.797,1862.874,5037.920,120.703,51.877
-0.860,3.000,8000.000,106.332,1862.874,2781.590,120.703,51.877
-0.850,1.000,8000.000,58.370,1812.929,2094.400,116.145,48.667
-0.850,2.000,8500.000,107.956,1874.010,5034.250,121.385,52.194
-0.850,3.000,8000.000,106.503,1874.010,2791.030,121.385,52.194
-0.840,1.000,8000.000,58.540,1817.424,2094.400,116.401,48.715
-0.840,2.000,8500.000,108.116,1884.454,5038.350,122.068,52.511
-0.840,3.000,8000.000,106.676,1884.454,2806.330,122.068,52.511
-0.830,1.000,8000.000,58.703,1821.684,2094.400,116.654,48.751
-0.830,2.000,8500.000,108.219,1894.749,5036.750,122.752,52.799
-0.830,3.000,8000.000,106.792,1894.749,2821.440,122.752,52.799
-0.820,1.000,7800.000,58.245,1826.871,2094.400,116.899,48.789
-0.820,2.000,8800.000,114.071,1907.087,5026.650,123.438,53.159
-0.820,3.000,8000.000,109.847,1907.087,3584.520,123.438,53.159
-0.820,4.000,7000.000,114.024,1907.087,3311.490,123.438,53.159
-0.819,1.000,7800.000,58.275,1827.300,2094.400,117.073,48.791
-0.819,2.000,8800.000,114.209,1908.143,5035.850,123.717,53.191
-0.819,3.000,8000.000,109.914,1908.143,3583.340,123.717,53.191
-0.819,4.000,7000.000,114.160,1908.143,3326.310,123.717,53.191
-0.818,1.000,7800.000,58.282,1827.755,2094.400,117.100,48.795
-0.818,2.000,8800.000,114.211,1909.225,5034.740,123.786,53.222
-0.818,3.000,8000.000,109.920,1909.225,3589.450,123.786,53.222
-0.818,4.000,7000.000,114.163,1909.225,3340.320,123.786,53.222
-0.817,1.000,7800.000,58.298,1828.200,2094.400,116.971,48.797
-0.817,2.000,8800.000,114.073,1910.295,5048.980,123.644,53.255
-0.817,3.000,8000.000,109.861,1910.295,3589.730,123.644,53.255
-0.817,4.000,7000.000,114.027,1910.295,3354.410,123.644,53.255
-0.816,1.000,7800.000,58.316,1828.622,2094.400,116.995,48.800
-0.816,2.000,8800.000,114.120,1911.340,5050.510,123.712,53.286
-0.816,3.000,8000.000,109.911,1911.340,3599.580,123.712,53.286
-0.816,4.000,7000.000,114.075,1911.340,3368.610,123.712,53.286
-0.815,1.000,7800.000,58.327,1829.037,2094.400,117.017,48.795
-0.815,2.000,8800.000,114.117,1912.388,5044.800,123.781,53.318
-0.815,3.000,8000.000,109.912,1912.388,3597.770,123.781,53.318
-0.815,4.000,7000.000,114.072,1912.388,3382.740,123.781,53.318
-0.814,1.000,7800.000,58.346,1829.440,2094.400,117.044,48.791
-0.814,2.000,8800.000,114.109,1913.408,5041.010,123.849,53.349
-0.814,3.000,8000.000,109.908,1913.408,3602.550,123.849,53.349
-0.814,4.000,7000.000,114.064,1913.408,3396.880,123.849,53.349
-0.813,1.000,7800.000,58.368,1829.882,2094.400,117.067,48.875
-0.813,2.000,8800.000,114.159,1914.458,5045.330,123.918,53.382
-0.813,3.000,8000.000,109.961,1914.458,3604.390,123.918,53.382
-0.813,4.000,7000.000,114.114,1914.458,3411.250,123.918,53.382
-0.812,1.000,7800.000,58.380,1830.292,2094.400,117.091,48.829
-0.812,2.000,8800.000,114.154,1915.506,5040.020,123.987,53.413
