Speed		Angle		Steer		Radius
100.573		0.0030		-0.034		103.442
101.566		0.0030		-0.034		103.475
102.559		0.0030		-0.034		103.508
103.552		0.0030		-0.034		103.541
104.545		0.0040		-0.034		103.576
105.538		0.0040		-0.034		103.61
106.531		0.0040		-0.034		103.644
107.524		0.0050		-0.034		103.679
108.516		0.0050		-0.034		103.713
109.507		0.0050		-0.034		103.749
110.499		0.0050		-0.034		103.787
111.491		0.0060		-0.034		103.82
112.482		0.0060		-0.034		103.855
113.473		0.0060		-0.034		103.893
114.464		0.0070		-0.034		103.929
115.455		0.0070		-0.034		103.966
116.446		0.0070		-0.034		104.002
117.436		0.0070		-0.034		104.039
118.427		0.0080		-0.034		104.077
119.417		0.0080		-0.034		104.116
120.407		0.0080		-0.034		104.153
121.397		0.0090		-0.034		104.192
122.386		0.0090		-0.034		104.23
123.375		0.0090		-0.034		104.27
124.361		0.01		-0.034		104.309
125.347		0.01		-0.034		104.349
126.514		0.01		-0.034		104.396
127.507		0.011		-0.034		104.437
128.5		0.011		-0.034		104.474
129.492		0.011		-0.034		104.518
130.485		0.012		-0.035		104.559
131.477		0.012		-0.035		104.604
132.469		0.012		-0.035		104.642
133.461		0.013		-0.035		104.686
134.453		0.013		-0.035		104.728
135.445		0.014		-0.035		104.77
136.437		0.014		-0.035		104.813
137.428		0.014		-0.035		104.857
138.42		0.015		-0.035		104.901
139.411		0.015		-0.035		104.945
140.402		0.015		-0.035		104.992
141.393		0.016		-0.035		105.034
142.384		0.016		-0.035		105.078
143.375		0.017		-0.035		105.124
144.365		0.017		-0.035		105.169
145.356		0.017		-0.035		105.217
146.346		0.018		-0.035		105.262
147.336		0.018		-0.035		105.308
148.325		0.018		-0.035		105.356
149.314		0.019		-0.035		105.402
150.303		0.019		-0.035		105.45
151.292		0.02		-0.035		105.497
152.28		0.02		-0.035		105.545
153.268		0.02		-0.035		105.594
154.256		0.021		-0.035		105.642
155.244		0.021		-0.035		105.697
