Steer		Gear		RPM		Speed		Distance		Min RPM		Max speed		Radius
-1.0		1		8000.0		56.2702		1717.812		2094.4		110.336		46.783
-1.0		2		8500.0		105.754		1719.735		5052.09		111.289		47.44
-1.0		3		8000.0		103.749		1719.735		2578.5		111.289		47.44
-0.99		1		8000.0		56.1708		1725.327		2094.4		110.793		46.948
-0.99		2		8500.0		105.904		1730.232		5053.59		111.952		47.746
-0.99		3		8000.0		103.915		1730.232		2581.27		111.952		47.746
-0.98		1		8000.0		56.3548		1732.467		2094.4		111.25		47.117
-0.98		2		8500.0		106.016		1740.312		5050.06		112.616		48.073
-0.98		3		8000.0		104.043		1740.312		2597.76		112.616		48.073
-0.97		1		8000.0		56.5061		1739.726		2094.4		111.707		47.288
-0.97		2		8500.0		106.178		1750.545		5055.85		113.283		48.382
-0.97		3		8000.0		104.221		1750.545		2612.35		113.283		48.382
-0.96		1		8000.0		56.7114		1746.916		2094.4		112.163		47.441
-0.96		2		8500.0		106.307		1760.709		5056.34		113.95		48.693
-0.96		3		8000.0		104.367		1760.709		2629.45		113.95		48.693
-0.95		1		8000.0		56.859		1754.089		2094.4		112.62		47.633
-0.95		2		8500.0		106.413		1770.868		5057.33		114.62		48.993
-0.95		3		8000.0		104.489		1770.868		2643.87		114.62		48.993
-0.94		1		8000.0		57.0285		1761.218		2094.4		113.076		47.804
-0.94		2		8500.0		106.554		1780.99		5067.53		115.29		49.33
-0.94		3		8000.0		104.645		1780.99		2659.53		115.29		49.33
-0.9299999999999999		1		8000.0		57.2362		1768.459		2094.4		113.532		47.976
-0.9299999999999999		2		8500.0		106.7		1791.278		5062.01		115.962		49.645
-0.9299999999999999		3		8000.0		104.808		1791.278		2676.43		115.962		49.645
-0.9199999999999999		1		8000.0		57.4273		1775.565		2094.4		113.987		48.147
-0.9199999999999999		2		8500.0		106.875		1801.456		5060.3		116.636		49.957
-0.9199999999999999		3		8000.0		104.997		1801.456		2692.97		116.636		49.957
-0.9099999999999999		1		8000.0		57.6096		1782.69		2094.4		114.441		48.322
-0.9099999999999999		2		8500.0		107.042		1811.675		5052.34		117.31		50.298
-0.9099999999999999		3		8000.0		105.178		1811.675		2709.6		117.31		50.298
-0.8999999999999999		1		8000.0		57.7715		1789.603		2094.4		114.849		48.464
-0.8999999999999999		2		8500.0		107.185		1821.826		5055.48		117.986		50.6
-0.8999999999999999		3		8000.0		105.282		1821.826		2723.43		117.986		50.6
-0.8899999999999999		1		8000.0		57.9672		1793.797		2094.4		115.083		48.492
-0.8899999999999999		2		8500.0		107.283		1832.371		5021.74		118.664		50.916
-0.8899999999999999		3		8000.0		105.781		1832.371		2738.2		118.664		50.916
-0.8799999999999999		1		8000.0		58.1336		1798.472		2094.4		115.35		48.525
-0.8799999999999999		2		8500.0		107.464		1842.483		5056.92		119.342		51.231
-0.8799999999999999		3		8000.0		105.973		1842.483		2752.07		119.342		51.231
-0.8699999999999999		1		8000.0		58.3134		1803.079		2094.4		115.619		48.58
-0.8699999999999999		2		8500.0		107.623		1852.566		5039.98		120.022		51.567
-0.8699999999999999		3		8000.0		106.144		1852.566		2766.99		120.022		51.567
-0.8599999999999999		1		8000.0		58.4809		1807.704		2094.4		115.884		48.655
-0.8599999999999999		2		8500.0		107.797		1862.874		5037.92		120.703		51.877
-0.8599999999999999		3		8000.0		106.332		1862.874		2781.59		120.703		51.877
-0.8499999999999999		1		8000.0		58.3695		1812.929		2094.4		116.145		48.667
-0.8499999999999999		2		8500.0		107.956		1874.01		5034.25		121.385		52.194
-0.8499999999999999		3		8000.0		106.503		1874.01		2791.03		121.385		52.194
-0.8399999999999999		1		8000.0		58.5401		1817.424		2094.4		116.401		48.715
-0.8399999999999999		2		8500.0		108.116		1884.454		5038.35		122.068		52.511
-0.8399999999999999		3		8000.0		106.676		1884.454		2806.33		122.068		52.511
-0.8299999999999998		1		8000.0		58.7028		1821.684		2094.4		116.654		48.751
-0.8299999999999998		2		8500.0		108.219		1894.749		5036.75		122.752		52.799
-0.8299999999999998		3		8000.0		106.792		1894.749		2821.44		122.752		52.799
-0.82		1		7800.0		58.2446		1826.871		2094.4		116.899		48.789
-0.82		2		8800.0		114.071		1907.087		5026.65		123.438		53.159
-0.82		3		8000.0		109.847		1907.087		3584.52		123.438		53.159
-0.82		4		7000.0		114.024		1907.087		3311.49		123.438		53.159
-0.819		1		7800.0		58.2661		1827.3		2094.4		116.922		48.791
-0.819		2		8800.0		114.071		1908.143		5035.85		123.506		53.191
-0.819		3		8000.0		109.851		1908.143		3583.34		123.506		53.191
-0.819		4		7000.0		114.024		1908.143		3326.31		123.506		53.191
-0.818		1		7800.0		58.2732		1827.755		2094.4		116.948		48.795
-0.818		2		8800.0		114.073		1909.225		5034.74		123.575		53.222
-0.818		3		8000.0		109.857		1909.225		3589.45		123.575		53.222
-0.818		4		7000.0		114.027		1909.225		3340.32		123.575		53.222
-0.817		1		7800.0		58.298		1828.2		2094.4		116.971		48.797
-0.817		2		8800.0		114.073		1910.295		5048.98		123.644		53.255
-0.817		3		8000.0		109.861		1910.295		3589.73		123.644		53.255
-0.817		4		7000.0		114.027		1910.295		3354.41		123.644		53.255
-0.816		1		7800.0		58.3164		1828.622		2094.4		116.995		48.8
-0.816		2		8800.0		114.12		1911.34		5050.51		123.712		53.286
-0.816		3		8000.0		109.911		1911.34		3599.58		123.712		53.286
-0.816		4		7000.0		114.075		1911.34		3368.61		123.712		53.286
-0.815		1		7800.0		58.3274		1829.037		2094.4		117.017		48.795
-0.815		2		8800.0		114.117		1912.388		5044.8		123.781		53.318
-0.815		3		8000.0		109.912		1912.388		3597.77		123.781		53.318
-0.815		4		7000.0		114.072		1912.388		3382.74		123.781		53.318
-0.814		1		7800.0		58.3463		1829.44		2094.4		117.044		48.791
-0.814		2		8800.0		114.109		1913.408		5041.01		123.849		53.349
-0.814		3		8000.0		109.908		1913.408		3602.55		123.849		53.349
-0.814		4		7000.0		114.064		1913.408		3396.88		123.849		53.349
-0.813		1		7800.0		58.3679		1829.882		2094.4		117.067		48.875
-0.813		2		8800.0		114.159		1914.458		5045.33		123.918		53.382
-0.813		3		8000.0		109.961		1914.458		3604.39		123.918		53.382
-0.813		4		7000.0		114.114		1914.458		3411.25		123.918		53.382
-0.8119999999999999		1		7800.0		58.3796		1830.292		2094.4		117.091		48.829
-0.8119999999999999		2		8800.0		114.154		1915.506		5040.02		123.987		53.413
-0.8119999999999999		3		8000.0		109.96		1915.506		3602.3		123.987		53.413
-0.8119999999999999		4		7000.0		114.11		1915.506		3425.51		123.987		53.413
-0.8109999999999999		1		7800.0		58.3858		1830.699		2094.4		117.115		48.821
-0.8109999999999999		2		8800.0		114.149		1916.551		5040.7		124.056		53.445
-0.8109999999999999		3		8000.0		109.959		1916.551		3604.37		124.056		53.445
-0.8109999999999999		4		7000.0		114.105		1916.551		3439.81		124.056		53.445
-0.8099999999999999		1		7800.0		58.4105		1831.128		2094.4		117.14		48.83
-0.8099999999999999		2		8800.0		114.197		1917.598		5045.34		124.124		53.476
-0.8099999999999999		3		8000.0		110.01		1917.598		3605.5		124.124		53.476
-0.8099999999999999		4		7000.0		114.153		1917.598		3454.31		124.124		53.476
-0.8089999999999999		1		7800.0		58.4237		1831.546		2094.4		117.163		48.83
-0.8089999999999999		2		8800.0		114.19		1918.645		5047.06		124.193		53.509
-0.8089999999999999		3		8000.0		110.007		1918.645		3609.7		124.193		53.509
-0.8089999999999999		4		7000.0		114.147		1918.645		3468.7		124.193		53.509
-0.8079999999999999		1		7800.0		58.4356		1831.894		2094.4		117.187		48.834
-0.8079999999999999		2		8800.0		114.228		1919.624		5053.19		124.262		53.54
-0.8079999999999999		3		8000.0		110.048		1919.624		3575.91		124.262		53.54
-0.8079999999999999		4		7000.0		114.185		1919.624		3483.24		124.262		53.54
-0.8069999999999999		1		7800.0		58.4523		1832.371		2094.4		117.208		48.833
-0.8069999999999999		2		8800.0		114.234		1920.752		5044.14		124.33		53.572
-0.8069999999999999		3		8000.0		110.057		1920.752		3622.14		124.33		53.572
-0.8069999999999999		4		7000.0		114.191		1920.752		3497.69		124.33		53.572
-0.8059999999999999		1		7800.0		58.4737		1832.803		2094.4		117.235		48.839
-0.8059999999999999		2		8800.0		114.227		1921.803		5039.86		124.399		53.605
-0.8059999999999999		3		8000.0		110.055		1921.803		3625.18		124.399		53.605
-0.8059999999999999		4		7000.0		114.185		1921.803		3512.22		124.399		53.605
-0.8049999999999999		1		7800.0		58.4836		1833.164		2094.4		117.258		48.841
-0.8049999999999999		2		8800.0		114.265		1922.785		5040.96		124.468		53.636
-0.8049999999999999		3		8000.0		110.096		1922.785		3581.27		124.468		53.636
-0.8049999999999999		4		7000.0		114.223		1922.785		3526.87		124.468		53.636
-0.8039999999999999		1		7800.0		58.5114		1833.557		2094.4		117.281		48.844
-0.8039999999999999		2		8800.0		114.254		1923.799		5048.17		124.537		53.668
-0.8039999999999999		3		8000.0		110.086		1923.799		3583.46		124.537		53.668
-0.8039999999999999		4		7000.0		114.213		1923.799		3541.41		124.537		53.668
-0.8029999999999999		1		7800.0		58.5203		1833.981		2094.4		117.304		48.846
-0.8029999999999999		2		8800.0		114.249		1924.869		5042.44		124.605		53.7
-0.8029999999999999		3		8000.0		110.085		1924.869		3586.84		124.605		53.7
-0.8029999999999999		4		7000.0		114.208		1924.869		3556.0		124.605		53.7
-0.8019999999999999		1		7800.0		58.5405		1834.395		2094.4		117.332		48.852
-0.8019999999999999		2		8800.0		114.297		1925.918		5052.91		124.674		53.732
-0.8019999999999999		3		8000.0		110.136		1925.918		3589.29		124.674		53.732
-0.8019999999999999		4		7000.0		114.257		1925.918		3570.81		124.674		53.732
-0.8009999999999999		1		7800.0		58.5461		1834.808		2094.4		117.353		48.852
-0.8009999999999999		2		8800.0		114.287		1926.962		5054.23		124.743		53.763
-0.8009999999999999		3		8000.0		110.13		1926.962		3606.07		124.743		53.763
-0.8009999999999999		4		7000.0		114.247		1926.962		3585.45		124.743		53.763
-0.7999999999999999		1		7800.0		58.5723		1835.207		2094.4		117.374		48.85
